"visit_date";"utm_source";"utm_medium";"utm_campaign";"visitors_count";"total_cost";"leads_count";"purchases_count";"revenue"
2023-06-02;tproger;cpc;dod-frontend;55;;0;126;
2023-06-02;telegram;cpp;base-java;25;;0;126;
2023-06-02;vk;cpm;prof-data-analytics;15;;0;126;
2023-06-02;telegram;cpp;base-python;12;;0;126;
2023-06-02;telegram;cpp;dod-java;12;;0;126;
2023-06-02;telegram;cpp;dod-php;8;;0;126;
2023-06-02;zen;social;hexlet-blog;5;;0;126;
2023-06-02;vk;cpm;prof-frontend;4;;0;126;
2023-06-02;vk;social;hexlet-blog;4;;0;126;
2023-06-02;zen;social;prof-frontend;3;;0;126;
2023-06-02;zen;social;promo;3;;0;126;
2023-06-02;telegram;cpp;base-frontend;2;;0;126;
2023-06-02;telegram;social;course_completed;2;;0;126;
2023-06-02;telegram;social;hexlet-blog;2;;0;126;
2023-06-02;twitter;social;devushki_v_it;2;;0;126;
2023-06-02;vk;cpp;dod-php;2;;0;126;
2023-06-02;botmother;tg;frontend;1;;0;126;
2023-06-02;facebook;cpm;freemium-en;1;;0;126;
2023-06-02;facebook;social;learn-to-program-at-30;1;;0;126;
2023-06-02;instagram;social;hexlet-blog;1;;0;126;
2023-06-02;mytarget;cpc;retarget;1;;0;126;
2023-06-02;partners;cpc;prof-python;1;;0;126;
2023-06-02;telegram;cpp;prof-python;1;;0;126;
2023-06-02;telegram;social;kak_gumanitariyu_popast-v_it;1;;0;126;
2023-06-02;telegram;social;;1;;0;126;
2023-06-02;tg;social;newdirections;1;;0;126;
2023-06-02;twitter;social;my-to--chto-my-skrollim-kak-programmistu;1;;0;126;
2023-06-02;vc;cpp;dod-php;1;;0;126;
2023-06-02;vk;cpc;freemium;1;;0;126;
2023-06-02;vk;cpc;prof-qa;1;;0;126;
2023-06-02;vk;cpp;base-frontend;1;;0;126;
2023-06-02;vk;social;all-courses;1;;0;126;
2023-06-02;vk;social;base-python;1;;0;126;
2023-06-02;vk;social;dod-php;1;;0;126;
2023-06-02;vk;social;general;1;;0;126;
2023-06-02;yandex-direct;cpc;"34668848";1;;0;126;
2023-06-02;yandex-direct;cpm;"00788899";1;;0;126;
2023-06-03;vk;cpc;freemium-frontend;212;2539;0;126;
2023-06-03;tproger;cpc;dod-frontend;207;;0;126;
2023-06-03;vk;cpc;prof-python;204;2023;0;126;
2023-06-03;vk;cpc;prof-java;199;2774;0;126;
2023-06-03;vk;cpc;prof-data-analytics;172;3974;0;126;
2023-06-03;vk;cpc;freemium-java;149;2656;0;126;
2023-06-03;vk;cpc;prof-frontend;122;;0;126;
2023-06-03;vk;cpc;freemium-python;121;1390;0;126;
2023-06-03;vk;cpc;base-python;101;2997;0;126;
2023-06-03;admitad;cpa;admitad;51;;0;126;
2023-06-03;telegram;cpp;base-python;15;;0;126;
2023-06-03;vk;cpm;prof-data-analytics;12;;0;126;
2023-06-03;zen;social;promo;9;;0;126;
2023-06-03;telegram;cpp;base-frontend;6;;0;126;
2023-06-03;vk;cpm;prof-frontend;3;;0;126;
2023-06-03;vk;cpp;dod-php;3;;0;126;
2023-06-03;google;cpc;frontend;2;;0;126;
2023-06-03;telegram;cpp;base-java;2;;0;126;
2023-06-03;telegram;cpp;prof-frontend;2;;0;126;
2023-06-03;vk;social;hexlet-blog;2;;0;126;
2023-06-03;Yandex;cpc;"02284027";1;;0;126;
2023-06-03;Yandex;cpc;"59988739";1;;0;126;
2023-06-03;Yandex;cpm;"94599791";1;;0;126;
2023-06-03;facebook;cpm;freemium-en;1;;0;126;
2023-06-03;telegram;cpp;dod-java;1;;0;126;
2023-06-03;telegram;cpp;prof-java;1;;0;126;
2023-06-03;telegram;cpp;prof-python;1;;0;126;
2023-06-03;telegram;social;base-java;1;;0;126;
2023-06-03;telegram;social;hexlet-blog;1;;0;126;
2023-06-03;telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀;social;course_completed;1;;0;126;
2023-06-03;twitter;social;course_completed;1;;0;126;
2023-06-03;twitter;social;hexlet-blog;1;;0;126;
2023-06-03;vc;cpp;dod-php;1;;0;126;
2023-06-03;vk;cpm;java;1;;0;126;
2023-06-03;vk;social;all-courses;1;;0;126;
2023-06-03;vk;social;base-frontend;1;;0;126;
2023-06-03;vk;social;base-python;1;;0;126;
2023-06-03;vk;social;course_completed;1;;0;126;
2023-06-03;vk;social;prof-python;1;;0;126;
2023-06-03;vk;social;promo;1;;0;126;
2023-06-03;yandex-direct;cpc;"16645437";1;;0;126;
